,Label,HMDB0035133 / HMDB0039893,N.A.,HMDB0000742,HMDB0002005,N.A. 2,HMDB0004670,HMDB0028911,HMDB0013141
25,1,538.4193875,1818.803239,1117.627886,696.8269461,966.8759952,1768.027648,3673.04804,1999.344649
26,23,447.429716,1125.879382,529.237999,470.448208,1481.363031,1462.820904,2019.099015,1471.835472
27,0,545.6261256,1043.416032,893.5668427,962.6409761,936.013,1103.565257,3014.333935,2162.619614
28,16,970.9109138,243.0838089,1208.306074,1316.790998,342.952478,801.7724873,393.6566853,30.58770717
29,8,1355.808018,287.475237,1361.433359,1187.966837,156.728029,987.4283606,168.9517369,529.8422741
30,22,668.9599455,1738.342231,621.4716344,476.2438375,1509.872397,293.0461573,983.902194,1473.379697
31,26,162.1358988,291.1642119,850.6934418,847.7492019,583.8042553,1039.436744,127.3333386,530.6681926
32,1,232.0582928,1834.561738,589.5834237,594.3642042,1568.747247,1957.462025,2186.780411,5231.362412
33,21,273.5815824,1398.71697,1152.228821,1156.038596,2148.578659,1061.092893,757.0180341,33.3584687
34,1,273.5396542,1392.683557,672.5038989,568.2591781,281.8589111,1849.674589,461.6465477,4308.643554
35,13,1498.43928,128.3816278,1192.16875,1185.874,361.1010395,876.8992502,374.74052,1981.69365
36,2,391.9875219,1021.855664,816.8744822,729.913475,529.4260419,4210.870981,1442.72784,1004.15258
37,22,182.1782367,3701.333309,659.6964511,788.0814278,1413.423098,927.9108605,812.781866,1502.568077
38,14,1385.282452,318.3944383,1055.564923,1061.546962,484.3907704,502.7480285,804.7223546,599.0398098
39,12,877.2753578,282.5096073,1160.305024,1107.724416,529.2754541,1021.712079,618.6832741,1249.658865
40,0,730.3733189,3155.764556,1215.461153,1310.674104,968.1067162,980.9219035,2301.39602,1068.853746
41,8,1363.999358,1022.966051,1204.921959,1367.836915,455.7664939,1187.386334,544.7990463,918.2425298
42,13,1487.20884,376.6201829,1499.250783,990.5697525,160.062364,801.5082699,120.1308246,887.6611602
43,1,612.5922345,922.7313632,506.9050917,587.0106375,1042.775652,1631.299273,3513.721701,2083.986674
44,5,1197.324028,1622.976508,1260.245232,1084.440385,603.8623838,411.8538918,422.0088027,1405.746018
45,8,1375.171428,402.7282306,1424.571453,1005.04702,257.222171,1248.706988,351.4670713,522.925121
46,2,607.2647036,1956.222943,759.5438623,1172.957291,1220.893103,1877.353731,1804.759063,2338.854676
47,12,1670.043079,106.0848532,1241.004338,1109.12722,126.5739186,97.72704687,354.9851627,475.2119834
48,7,1273.147014,615.1780771,977.6315383,1365.913994,675.6429804,683.617862,434.075625,1535.464054
49,2,394.0301607,2079.849395,895.9620357,526.4269487,1234.941639,2228.858059,819.5187664,2630.196554
50,13,1669.556821,106.7222243,1338.01038,1307.533534,168.2447876,59.82143098,14.40655033,1035.689836
51,6,2375.735151,288.4820824,1286.094429,1657.196603,195.5961261,1747.257347,201.4788953,1095.214566
52,20,1104.027838,660.6750563,1283.67287,923.95959,571.8061284,491.3751228,1487.696313,1143.552603
53,21,402.2987959,1241.461666,1433.201206,1300.298834,2461.214799,344.9042877,126.0858437,1755.999501
54,2,501.1652761,1735.98142,954.9222189,929.8725845,1062.343798,1142.808294,1494.813497,613.339392
55,5,2125.604649,469.6780663,1082.367147,1229.120816,470.160197,1243.54885,159.6413897,1535.788856
56,6,1615.530251,546.2051959,1408.456945,1301.995445,547.0061252,917.9099279,511.5742137,1591.732756
57,21,1907.690702,703.8644432,965.3440811,1179.567056,1137.32894,1110.467078,562.2556208,535.6875069
58,22,128.3025262,573.354871,302.7998885,300.5800815,437.0767715,320.9632003,81.40793443,1138.804457
59,15,992.7716341,611.4142595,1390.22913,1411.452373,748.2868693,1125.289431,966.8156894,1338.036837
60,15,1335.389749,227.0892872,1267.81682,999.6670697,550.1239916,1825.644243,480.1924131,289.7718372
61,7,1147.675549,551.7679816,912.0963545,888.4990855,918.1796346,1582.127447,739.3755997,1452.42418
62,12,2309.145715,38.99050105,574.8513317,997.8999198,366.8800217,394.4917909,272.3883884,27.30765601
63,7,955.0033676,366.7185222,842.5932012,994.2867778,676.017873,1205.800954,482.4807346,2095.727128
64,15,919.5589517,306.4074044,1319.365586,1372.878587,619.1746434,1013.109835,341.3735913,634.0149584
65,16,1550.017863,172.2098013,1891.299132,1097.498908,194.9702916,2198.549048,23.25214655,699.9350285
66,5,1194.406502,549.8230824,1446.885595,1337.908045,131.4109406,1373.539157,164.3797582,56.99129654
67,0,1618.487841,2578.657825,1206.990053,1191.588403,1021.329102,1107.84101,2210.168405,1931.647406
68,6,857.4234737,474.6457804,1091.045282,1093.779202,585.9096597,1059.581491,99.45683761,1226.139164
69,26,214.6615359,1063.690248,521.0678782,615.9020007,1233.300164,902.5882397,1220.536132,1433.573443
70,9,1615.137829,123.7018164,1034.971658,920.8082095,95.42870728,1861.451513,264.253197,490.3661267
71,5,1733.119561,511.5452774,791.4923212,1101.544805,1145.628965,1131.632787,399.0007495,1357.978933
72,23,202.8810626,355.9932007,136.2352141,198.4402455,94.04317252,314.2172662,10.09764807,47.63823173
73,20,897.6445554,9.473245018,446.1791466,456.4850281,612.8825429,761.5515497,679.0711177,1987.69255
74,21,679.504905,332.9272046,996.5815316,1108.669947,1426.533893,821.1543981,646.2117276,1202.863395
75,12,759.6886,193.9084807,758.703,1174.342226,751.8554539,603.2329896,124.8987117,674.5951529
76,26,220.2984719,1657.302356,718.3750636,985.1233862,1769.718253,901.7949193,1065.409501,1237.092165
77,8,1957.314925,152.4493747,1137.175295,1450.113068,668.7646001,1063.686875,317.5438228,38.40944848
78,19,726.1737548,41.15433717,1299.378557,876.8146265,52.55580239,448.1919876,79.56867733,1827.600781
79,9,2137.4937,238.4857324,1771.496514,1706.66049,23.41313828,572.4704714,377.6154257,423.2331316
80,20,402.0197849,979.4726818,1244.892799,861.9198658,2039.828323,522.4592712,3958.545758,1061.885237
81,20,627.4849677,1132.649308,836.6137768,1195.501537,1349.347307,568.0183075,1554.351561,427.1212032
82,14,783.7923566,263.8023305,1043.189907,1242.191525,727.3769713,533.1125847,493.7064595,661.8937241
83,13,1829.899302,514.0300791,1126.651437,1405.103538,600.2452948,439.2988019,226.8254304,1076.271756
84,9,2056.713427,432.7374109,1275.592731,1364.126585,20.42722835,1802.127995,641.6278536,868.9286611
85,20,895.4222643,1090.436855,809.6466427,1155.166128,1352.400352,1201.84774,1613.099279,1323.111983
86,1,504.7469823,389.6056699,683.6230235,563.3766332,1453.817384,1569.44805,4651.57115,2432.690745
87,2,609.8387929,2285.217523,1189.94263,1032.767484,1097.662624,3036.589668,2568.94461,1178.821515
88,14,930.8695604,370.4449408,877.0354509,1002.972024,992.0847201,652.7196401,741.0288477,720.7838342
89,8,1521.9129,151.025597,992.565035,1219.334919,578.8229803,1234.769166,37.98764676,1356.385527
90,7,1588.934925,371.9449005,996.8547005,1189.009286,328.3262413,1355.297431,238.5930278,763.0474162
91,23,190.9561557,2997.931325,605.6590556,790.1604177,1102.078219,489.2830233,116.0503875,2112.716268
92,16,2119.572096,99.90184548,1429.638247,1036.945145,764.0935557,559.7918046,343.7792013,393.9431138
93,9,2222.83173,451.6799579,1316.393928,1044.263131,281.5572923,560.1461998,67.15101962,596.808146
94,22,88.4064268,1953.511238,539.455458,652.7431003,2135.398106,511.5848136,1371.682006,1046.734036
95,23,1024.981814,1703.699151,660.9746817,799.9963087,958.3692325,538.6826037,743.0194645,333.7026631
