"",Label,X203.130173805984...820.908935546875,X344.090501591756...1063.88049316406,X136.039010425399...113.691162109375,X153.063788635274...162.899993896484,X166.049917801498...128.399993896484,X269.148033648836...154.199996948242,X269.147793493768...149.767303466797,X295.228993697699...1598.64379882812,X245.179551581852...159.300003051758,X151.061409775449...177.599990844727,X305.109811519605...542.831359863281
"47",12,1670.043079,106.0848532,1241.004338,922.2436906,1109.12722,79.14788803,126.5739186,97.72704687,354.9851627,475.2119834,707.4300204
"48",7,1273.147014,615.1780771,977.6315383,1051.530169,1365.913994,662.4025488,675.6429804,683.617862,434.075625,1535.464054,1553.134392
"49",2,394.0301607,2079.849395,895.9620357,1118.612386,526.4269487,1345.256368,1234.941639,2228.858059,819.5187664,2630.196554,1393.879941
"50",13,1669.556821,106.7222243,1338.01038,1099.120918,1307.533534,174.031249,168.2447876,59.82143098,14.40655033,1035.689836,900.1596904
"51",6,2375.735151,288.4820824,1286.094429,1299.829071,1657.196603,214.359074,195.5961261,1747.257347,201.4788953,1095.214566,1479.179724
"52",20,1104.027838,660.6750563,1283.67287,988.8248679,923.95959,680.548424,571.8061284,491.3751228,1487.696313,1143.552603,32.55954858
"53",21,402.2987959,1241.461666,1433.201206,1168.222088,1300.298834,1700.792537,2461.214799,344.9042877,126.0858437,1755.999501,2679.777251
"54",5,2125.604649,469.6780663,1082.367147,1055.645601,1229.120816,318.4950629,470.160197,1243.54885,159.6413897,1535.788856,684.0272641
"55",2,501.1652761,1735.98142,954.9222189,990.5759294,929.8725845,1078.430991,1062.343798,1142.808294,1494.813497,613.339392,256.1981104
"56",6,1615.530251,546.2051959,1408.456945,1802.327156,1301.995445,526.442842,547.0061252,917.9099279,511.5742137,1591.732756,1952.894553
"57",22,128.3025262,573.354871,302.7998885,360.4768464,300.5800815,474.3894811,437.0767715,320.9632003,81.40793443,1138.804457,101.6165374
"58",21,1907.690702,703.8644432,965.3440811,995.3611933,1179.567056,619.5781795,1137.32894,1110.467078,562.2556208,535.6875069,446.2477755
"59",15,992.7716341,611.4142595,1390.22913,1395.449098,1411.452373,839.9556645,748.2868693,1125.289431,966.8156894,1338.036837,3490.363272
"60",15,1335.389749,227.0892872,1267.81682,922.767393,999.6670697,617.9198421,550.1239916,1825.644243,480.1924131,289.7718372,331.4128021
"61",7,1147.675549,551.7679816,912.0963545,1223.042166,888.4990855,619.5532983,918.1796346,1582.127447,739.3755997,1452.42418,529.564107
"62",12,2309.145715,38.99050105,574.8513317,557.3230452,997.8999198,274.3154308,366.8800217,394.4917909,272.3883884,27.30765601,21.95268805
"63",7,955.0033676,366.7185222,842.5932012,798.9945298,994.2867778,774.6375402,676.017873,1205.800954,482.4807346,2095.727128,542.7512781
"64",15,919.5589517,306.4074044,1319.365586,1852.01981,1372.878587,650.086943,619.1746434,1013.109835,341.3735913,634.0149584,2525.597751
"65",16,1550.017863,172.2098013,1891.299132,1261.416315,1097.498908,465.1862777,194.9702916,2198.549048,23.25214655,699.9350285,896.9537065
"66",5,1194.406502,549.8230824,1446.885595,699.0940964,1337.908045,122.0089031,131.4109406,1373.539157,164.3797582,56.99129654,1229.829481
"67",0,1618.487841,2578.657825,1206.990053,1318.5854,1191.588403,776.9292246,1021.329102,1107.84101,2210.168405,1931.647406,7918.340559
"68",6,857.4234737,474.6457804,1091.045282,1071.81466,1093.779202,364.1190474,585.9096597,1059.581491,99.45683761,1226.139164,2158.748826
"69",26,214.6615359,1063.690248,521.0678782,570.2539264,615.9020007,1444.275703,1233.300164,902.5882397,1220.536132,1433.573443,36260.75094
"70",9,1615.137829,123.7018164,1034.971658,1253.620572,920.8082095,262.7675545,95.42870728,1861.451513,264.253197,490.3661267,429.7762099
"71",5,1733.119561,511.5452774,791.4923212,795.49989,1101.544805,881.0689578,1145.628965,1131.632787,399.0007495,1357.978933,1550.825338
"72",23,202.8810626,355.9932007,136.2352141,201.3383699,198.4402455,65.64985926,94.04317252,314.2172662,10.09764807,47.63823173,7450.52972
"73",20,897.6445554,9.473245018,446.1791466,487.5334958,456.4850281,529.2057404,612.8825429,761.5515497,679.0711177,1987.69255,11453.53227
"74",21,679.504905,332.9272046,996.5815316,794.773557,1108.669947,1291.698463,1426.533893,821.1543981,646.2117276,1202.863395,1463.975373
